lat,lon
144.3804075,-38.14938717
144.3782104,-38.17571705
144.3278849,-38.1922357
144.5723442,-38.17991428
144.2986349,-38.16378547
144.360148,-38.15652443
144.3548869,-38.15355626
144.351541,-38.18188615
144.3220474,-38.17157413
144.3213477,-38.17144251
144.3211101,-38.17139297
144.3209114,-38.17135446
144.3207966,-38.17133515
144.3206863,-38.17131534
144.3519515,-38.15212982
144.3909454,-38.02613548
144.380906,-38.0250176
144.3896964,-38.02450021
144.646885,-38.11886939
144.394444,-38.02766296
144.3006813,-38.20855614
144.3896207,-38.02491643
144.3897237,-38.02432916
144.336678,-38.13285598
144.6394291,-38.11841011
144.3950754,-38.02708977
144.4047405,-38.01405096
144.35157,-38.15990007
144.6366383,-38.12104545
144.3679015,-38.15559018
144.3986115,-38.03374397
144.5485107,-38.16887045
144.548173,-38.16882949
144.5478112,-38.16878561
144.5488999,-38.16877178
144.5481334,-38.16867886
144.5477535,-38.1686328
144.5474038,-38.16859041
144.3039292,-38.15578937
144.3039513,-38.15566999
144.3042516,-38.15549003
144.3042664,-38.15528631
144.3039938,-38.15528115
144.3042679,-38.15510752
144.3039829,-38.15489096
144.3042544,-38.15487844
144.3042435,-38.15477877
144.3039601,-38.15468701
144.3043531,-38.15462645
144.3043656,-38.15447689
144.3041981,-38.1543789
144.3041819,-38.15423705
144.3040968,-38.15367855
144.304028,-38.15352868
144.3018012,-38.15313536
144.3020656,-38.15279255
144.3018705,-38.15268416
144.7102621,-38.14295964
144.7101238,-38.1429494
144.7112525,-38.14294701
144.7099598,-38.14293726
144.7111049,-38.14293698
144.7109272,-38.14292398
144.7097622,-38.14292263
144.7096121,-38.14291152
144.7107616,-38.14291121
144.7094514,-38.14289963
144.710605,-38.14289862
144.7092728,-38.14288641
144.7091279,-38.14287568
144.7089725,-38.14286417
144.7088066,-38.14285189
144.7086175,-38.1428379
144.7084546,-38.14282583
144.7107977,-38.14281893
144.7106446,-38.14281074
144.7097494,-38.14277713
144.7104718,-38.14276999
144.7095741,-38.14276415
144.7103453,-38.14276062
144.7093633,-38.14274854
144.709184,-38.14273527
144.709077,-38.14272736
144.7089056,-38.14271466
144.7087345,-38.14270199
144.7086046,-38.14269237
144.708257,-38.14268527
144.7102299,-38.14267631
144.71003,-38.14267097
144.7102399,-38.14259157
144.7100453,-38.14254215
144.7082751,-38.14253326
144.7084617,-38.14250633
144.7102538,-38.14247459
144.7100549,-38.14246133
144.7084785,-38.14236428
144.7102467,-38.14235525
144.7082976,-38.14234371
144.7100411,-38.14234008
144.7099333,-38.14224774
144.709801,-38.14223795
144.7096557,-38.14222719
144.7102194,-38.14222615
144.7084955,-38.1422211
144.7094852,-38.14221457
144.708314,-38.14220526
144.7092999,-38.14220086
144.709126,-38.14218798
144.7089507,-38.14217501
144.7087894,-38.14216307
144.7086629,-38.1421537
144.7097897,-38.14207851
144.7095588,-38.14206141
144.7101332,-38.14205614
144.7094151,-38.14205078
144.7092578,-38.14203914
144.7091049,-38.14202782
144.708961,-38.14201716
144.7087907,-38.14200455
144.7087071,-38.14199837
144.7085187,-38.14198441
144.7042857,-38.13817905
144.7041046,-38.13810112
144.7039193,-38.13808224
144.7042946,-38.13804952
144.7036258,-38.13804598
144.703544,-38.13803675
144.7040903,-38.13801883
144.7033276,-38.13800391
144.7039244,-38.13799651
144.7031832,-38.13798964
144.703703,-38.13796929
144.7034648,-38.13794174
144.70333,-38.13792766
144.7031303,-38.13790468
144.5487101,-38.16889463
144.5483543,-38.16885149
144.5479754,-38.16880553
144.5475928,-38.16875913
144.5486506,-38.16874156
144.5483346,-38.16870325
144.5479538,-38.16865709
144.5475861,-38.1686125
144.5471688,-38.16856192
144.5430271,-38.24010339
144.5427864,-38.24006137
144.5430403,-38.24003619
144.5430641,-38.23991501
144.5430905,-38.23978031
144.5431205,-38.23962781
144.5431442,-38.23950717
144.5431749,-38.23935065
144.5431976,-38.23923523
144.3816845,-38.02969611
144.3820267,-38.02948038
144.3821907,-38.02935605
144.3398281,-38.19689679
144.3326624,-38.18811277
144.7138427,-38.16836763
144.7135369,-38.16829445
144.7136989,-38.16827042
144.7134237,-38.16820641
144.7135927,-38.16819111
144.7135133,-38.16812376
144.7132527,-38.16805431
144.7133319,-38.16795572
144.71314,-38.16795055
144.7132136,-38.16785757
144.712999,-38.16782478
144.7131095,-38.16776685
144.7025777,-38.13925856
144.7026103,-38.13918052
144.7039802,-38.13883301
144.7038794,-38.13875713
144.7037504,-38.13873076
144.7035128,-38.13870227
144.7033373,-38.13868209
144.7031429,-38.13865927
144.7037351,-38.13864129
144.7029415,-38.13863149
144.703598,-38.13862336
144.7040309,-38.13860512
144.7033982,-38.13860419
144.7032272,-38.13858749
144.7039252,-38.13857237
144.7030086,-38.1385527
144.4017879,-38.03310217
144.4015431,-38.03307768
144.3555207,-38.19280414
144.3555908,-38.19265026
144.3554651,-38.19261844
144.3577827,-38.19257053
144.3557856,-38.19255628
144.3559304,-38.19255339
144.3560886,-38.19254905
144.3562146,-38.19254223
144.3563716,-38.19253786
144.3565334,-38.19252658
144.3567027,-38.19252249
144.3570195,-38.19251603
144.3571983,-38.19250977
144.3579051,-38.19250917
144.35742,-38.19250334
144.3575849,-38.19249915
144.3557498,-38.19246852
144.3560818,-38.19246019
144.356277,-38.1924479
144.355626,-38.19244465
144.3564552,-38.19244313
144.3554604,-38.19243828
144.3571081,-38.19241903
